effect_id,category,study_id,exp_id,outcome_pattern,effect_direction,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,n_int,mean_int,sd_int,overall_rob
121,NMDA antagonists,Sison_2011,Sison_2011_exp_002,time_in_social,direct,Control,8,54.447,12.54266008,MK-801,8,46.5025,10.11728383,Low
122,NMDA antagonists,Sison_2011,Sison_2011_exp_003,time_in_social,direct,Control,8,43.0195,18.35649204,MK-801,8,40.447,24.73600942,Low
123,NMDA antagonists,Sison_2011,Sison_2011_exp_003,time_in_social,direct,Control,8,43.0195,18.35649204,MK-801,8,50.468,22.81126476,Low
124,NMDA antagonists,Sison_2011,Sison_2011_exp_003,time_in_social,direct,Control,8,43.0195,18.35649204,MK-801,8,43.3365,14.1605204,Low
125,NMDA antagonists,Zimmermann_2016,Zimmermann_2016_exp_001,time_in_social,direct,Control,16,248.669,26.232,MK-801,16,192.7855,81.022,Low
126,NMDA antagonists,Zimmermann_2016,Zimmermann_2016_exp_002,time_in_social,direct,Control,12,285.142,19.92204839,MK-801,12,188.4785,128.7745134,Low
127,NMDA antagonists,Zimmermann_2016,Zimmermann_2016_exp_003,time_in_social,direct,Control,14,238.356,34.25487338,MK-801,14,154.7715,103.1275609,Low
128,Valproic acid,Bailey_2016,Bailey_2016_exp_001,distance_to_social,indirect,Control,28,6.967,6.222539674,Valproic acid,28,7.961,5.382496818,Low
129,Valproic acid,Bailey_2016,Bailey_2016_exp_001,distance_to_social,indirect,Control,28,6.967,6.222539674,Valproic acid,28,10.261,5.690795375,Low
130,Valproic acid,Bailey_2016,Bailey_2016_exp_001,distance_to_social,indirect,Control,28,6.967,6.222539674,Valproic acid,28,8.9125,7.022984551,Low
131,Valproic acid,Baronio_2018,Baronio_2018_exp_001,time_in_social,direct,Control,6,523.134825,49.44503252,Valproic acid,6,383.40291,99.63854338,Low
132,Valproic acid,Chele_2024,Chele_2024_exp_001,time_in_social,direct,Control,10,54.9535,34.22691225,Valproic acid,10,61.433,20.48681582,Low
133,Valproic acid,Flores_Prieto_2024,Flores_Prieto_2024_exp_001,time_in_social,direct,Control,8,2.4885,1.490581095,Valproic acid,8,1.6265,1.178039897,Low
134,Valproic acid,Joseph_2021,Joseph_2021_exp_001,time_in_social,direct,Control,8,304.588,72.91067874,Valproic acid,8,122.9665,83.16961568,Low
135,Valproic acid,Liu_2021,Liu_2021_exp_001,distance_in_social,direct,Control,12,0.933,0.09006664199,Valproic acid,14,0.966,0.0860581199,Low
136,Valproic acid,Zimmermann_2015,Zimmermann_2015_exp_001,time_in_social,direct,Control,18,194,87.39839815,Valproic acid,18,136.2,58.12417741,Low
137,Stress,Wilson_2024,Wilson_2024_exp_001,time_in_social_delta,direct,Control,9,34.503,9.2355,Alarm substance,8,33.5355,9.278655183,Low
138,Stress,Wilson_2024,Wilson_2024_exp_002,time_in_social_delta,direct,Control,9,39.4015,6.6825,Alarm substance,9,44.6895,9.3525,Low
139,Stress,Aldurrah_2023,Aldurrah_2023_exp_001,time_in_social,direct,Control,10,205.418,77.38251548,Chronic unpredictable stress,10,157.152,72.26436909,High
140,Stress,Fulcher_2016,Fulcher_2016_exp_001,distance_to_social,indirect,Control,11,14.2592425,13.5843397,Chronic unpredictable stress,11,13.25369,13.60000789,High
141,Stress,Rahim_2022,Rahim_2022_exp_001,time_in_social,direct,Control,10,314.875,71.22081746,Chronic unpredictable stress,10,207.2325,141.622605,High
